_input,_num,_widgetName,_source,_resultNumber,_pageUrl,song_title,lyrics
,1,drake-azlyrics,drake-azlyrics,1,http://www.azlyrics.com/lyrics/drake/moneyremix.html,"Money (Remix)",[TALKING:] Southern Smoke {echo} It's Southern Smoke baby! (Money) Frank [?] (Money) My man Nickelus F (Money) Ho! It's Drake. Southern Smoke (Money) This is the remix right here (Money) So if you got some (Money) Put ya hands in the air (Money) Southern Smoke [Verse 1:] Now-a-days you sayin' that I should go Jermaine I should go Pharrell Either or my nigga make sure you don't get shelled (Right) Make sure your money's right and they do a promotion well So you could get checks cut like Benedict in Ocean's Twelve This ain't Brad Pitt I gotta admit I'm sick of seeing chicks in that Louis V and that Plaid shit cause it's a bad fit They say my father lives through me so this is just basically how my dad spit I know my cash come quick when it's sunny You know a girl is special if I stick with her honey If it wasn't for dummies chick would still have money And if it wasn't for money Nick would still have Skummy So guess it's kinda like a gift and a curse To jip money is easier than liftin' a purse If you pick the wrong mother who'll snatch you run for cover A week later you might find ya click in a hearse boy! [Chorus:] I take time arrange that (Money) Some kill just to claim that (Money) Switch countries exchange that (Money) You cannot get jack for freeee And my proceeds and cash right (Money) There's no need to stash right (Money) Got the same 4 g's from last night (Money) You cannot take that from meeeee homie [Verse 2: Nickelus F] [Chorus] I take time arrange that (Money) Some kill just to claim that (Money) Switch countries exchange that (Money) You cannot get jack for freeee And my proceeds and cash right There's no need to stash right Got the same 4 g's from last night You cannot take that from meeeee homie
,2,drake-azlyrics,drake-azlyrics,2,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html,"Do What You Do",[Hook:] Stance on lean leg up on the wall My people they chill why you haters wanna ball I'm satisfied with a little why you haters want it all You waiting for the Spring and I'm gettin it in the fall But uh do what you do what you I do what I do Do's what you do I do what I do [Verse 1:] Getting down tonight if they say you cuttin' A lot of rappers in my city they ain't saying nothin' A lot of records from here they get no play And these labels don't give advances so you get no pay Them little rims on the ride I'mma let those stay So these nosy niggas won't know that I get checks all day 'Whats he worth?' Fans keep trying on guessing My record ain't even finish they keep trying to press it Boi-1da and Drake if there's beef I address it And the black Phantom is here soon as we find our exit Both of the deals nothing under a mill We know you got it to give and we trying to collect it Long as I got me some heat through the winter Drake known as a pro I'mma teach you beginners Bout to ink with a major like sheets through a printer For features ya'll better get me while its cheaper than dinner Cause me and 1da trying to get at your girl If you see her tell this nigga got some beats I'mma sell her [Hook x2] [Verse 2:] Check the verses I'm writing you might wanna learn it You hatin my song but your wife wanna burn it So now you at the store for some blank CDs You can't see me for your sake might wanna return it Cause if you bring them discs home to ya girl she'll forget you And I'll be the only one she concerned with To the people that ignored me before this This one is for you as a song re-recorded Funny thing is you just notice me now But I was here along your vision's just been distorted I'm so throwed [?] and I write a sixteen and record it The waiting is over I think music need it Drake cuttin his records without gettin weeded People in the South want it chopped and screwed I got this dude They expectations I'mma exceed it Like a singer with only backgrounds ya'll record it When it's done ya lyrics tend to mislead shit Finally here I'mma star with the timing My swagger is chill and my flow is reclining This for anybody that's searchin for cash And purchase so fast you only get the dough when you grindin And so I grind like I'm listening to all Wayne My pain you can experience through the rhyming boy [Hook x2] [Verse 3:] Two years ago a friend of mine Asked me to kick some new school lines And so I sent him a rhyme it was fresh to death Now not signing me is something that the rest regret Then I hopped inside the Cadillac The chauffeur drove off and we never came back [Hook]
,3,drake-azlyrics,drake-azlyrics,3,http://www.azlyrics.com/d/drake.html,"Room For Improvement"; "Comeback Season"; "So Far Gone"; "So Far Gone"; "Thank Me Later"; "Young Sweet Jones"; "Take Care"; "Nothing Was The Same"; "Views From The 6",
,4,drake-azlyrics,drake-azlyrics,4,http://www.azlyrics.com/lyrics/drake/intro.html,"Intro",Yo what's goin on this is Drake And I'ma let you know what you about to witness aight? This right here is a Drake and DJ Smallz collaboration So I'm from Canada my mans from down South You understand the #1 DJ in the South to be exact You heard that at the VMA's you heard it wherever he goes My man Smallz is out there down South Same time reppin for Toronto Canada y'knahmean? So this right here what you 'bout what you listenin to right NOW is the official "Southern Smoke: Special Edition" I call it the "Room For Improvement" mixtape Cause I'm not perfect and I bet neither are you if you listenin so you need to just accept what's THERE y'knahmean? But look You need to just let this play out from track one to track whatever however many I put on here You need to just listen to this because look man it's the first time Canadian down South my man Smallz Your boy Drake you know what it is man So just uhh tune in nigga...
,5,drake-azlyrics,drake-azlyrics,5,http://www.azlyrics.com/lyrics/drake/special.html,"Special",[Drake: Speaking] Uh Yea Man Vo Back Again Like We Never Left Huh Yea Man Im Sending This Out To Any Of My Girls Thats Different Man Anybody Thats Special You Know I Wanna Be Honest With You Women So Ima Start Off Like This [Verse: Drake] Uh Look I'm Bold From The Get Go Go By The Title Of Drake And Treating Me Like The Rest Is A Vital Mistake I'm Hopin That Aint Nobody Else As Special As You When I Say I've Been Disappointed Im Addressin A Few I Finesse Then I Groove While Most Of The 8 To 9's In My Past Now Get A Rating Thats Less Than A 2 Its True I Been Talking To Aleshia Keisha And Nadia And Shadia Had To Throw Peace Signs To A Lot Of Ya's Payback To The Same Chicks From Way Back Never Call Now They Wanna Be Where I Stays At Now They Got The New Boy I'm Trying To Move Forward And Pass Me Classy Something Like Drew Lord A New Me Cool See I Never Get Around If I Dont Change Now I Dont Think I'll Ever Settle Down Even If I Gotta Travel A Bit I'll Go Around The World And Back Cuz I Know That Once I Have It Thats It And Uh [Chorus:] (Yea Man; Yea) You Can't Just Love Me Like They Do (Talk To Em V; I Need Somebody Special In You Girl) I Need Someone Special In You (I Know They Out There Somewhere Dude; Ho!) I Know That Out There Theres A Few (Put Ya Hands Up Ladies; Yea Man) See I've Been Searching I Don't What To Do Can You Help Me? (Uh) She Gotta Be Special (Yea; You Gotta Hold Me Down Baby) By That I Mean That You Gon Hold Me Down (Uh) You Gotta Be Special (Yea; You Never Know Right?) Cuz You Never Know How People Stick Around (Uh) Gotta Be Special [Verse 2: Drake] A Girl I Can Love That Sees Nothing Wrong With Getting Used To Me Yea My Name Aint Change But I'm Far From The Man That I Used To Be Since A Young Dude The Flow Was Nasty Acidic Ever Since The Demo Dog [?] And Groupies Are Gettin Brave Now They Ask Me For [?] Rappers I Write Em A Verse And Ask Me To Spit It But I Pay No Mind Though Cuz They Know I Know Hard As These Niggas Working Man They Wont Sign So Drake And Vo Back I Take It You Know That You Take It Sitting Down Or You Can Take It To Gold Black And Since Drake Done Took It From Curls To Waves Its Been Kind Of Like A Whirlwind Phase I Mean I Had My Share Of Women Now A Nigga Gettin Girls For Days With Most Of Em Its Seemin Like They World Is Staged But From Georgia To Bk And All Around The World Get Your Hands In The Air If Your Avoiding The Cliche If You've Been Hurt And You Alone Be Steady These The Same Dudes From Rewind Grown And Ready And Uh [Chorus:] (Yea; Uh) You Can Just Love Me Like They Do (Vo We Back Man; Its A Beautiful Thing Dog) I Need Someone Special In You (Uh; Im Looking For Somebody Special Man I'm Serious; Ho!) I Know That Out There Theres A Few (I Know That They Out There Man) See I've Been Searching I Dont Know What To Do (Ho! You Gotta Help Me Man) Can You Help Me? (Uh) Special (Uh; Yea; I Need You To Hold Me Down Babe) By That I Mean That You Gon Hold Me Down (Uh) Gotta Be Special (Yea; You Never Really Know Right?) Cuz You Never Know How People Stick Around Special [Verse 3: Drake] A Girl I Can Love That Sees Nothing Wrong With Getting Used To Me Yea My Name Aint Change But I'm Far From The Man That I Used To Be Look Theres Requirements To Be An Admirer Still The New Version Of Fresh Needa A Nia Or Tyra So We Can Be Jenny And Swayze I Told You I'm Careful With My Heart Girl Many Have Played Me Or Maybe Its Karma They Say Is A Charmer Halfway To A Night So I Stay In A Armor I'm Fire On The Move A Tire Looking Smooth I'm Not Perfect But I Got A Desire To Improve I'm Special Like Kids In A Graduating Class Having More Trouble Than Others When Addin Basic Math Need You To Be Special Like Areba To Cootmore Double O Top Secret Agents With Suits On Something So Deep It Da Drown Me Friends Are Some Cool Dudes I Vouch For The People Around Me On Your End Its Simple All You Have To Do Is Give Me No Reason For Other Lovers After You And Uh [Chorus:] (Yep; Ho!; Were Makin History Right Now Man) You Can't Just Love Me Like They Do (Yea; And You A Legend For Real Ima Give You That Man) I Need Someone Special In You (Uh; Yea; I Know They Out There Man) I Know That Out There Theres A Few (Ho!; Yeal Uh) See I've Been Searching I Don't What To Do (You Gotta Help Me Baby) Can You Help Me? Special (All Around The World) By That I Mean That You Gon Hold Me Down (From La To Va) Special (Memphis Tennessee Whats Goin On) Cuz You Never Know How People Stick Around Gotta Be Special A Girl I Can Love That Sees Nothing Wrong With Getting Used To Me Yea My Name Aint Change But I'm Far From The Man That I Used To Be [Outro:] Vo And D-R-A-K-E We Them Boys That You Came To See (So Get Busy Ya) Yep We Take It To The Same Degree So Let Loose Since You Came With Me (Get Busy Ya) Vo D-R-A-K-E We Them Boys Came To See (Get Busy Ya) Ya We Take It To The Same Degree So Let Loose Cuz You Came (Get Busy Ya)
,6,drake-azlyrics,drake-azlyrics,6,http://www.azlyrics.com/lyrics/drake/am2pm.html,"A.M. 2 P.M.",[NICKELUS F:] Yo I wake up every morning shower gather my belongings Yo I wake up every morning shower gather my belongings Head to works I get some breakfast 'cause still a nigga yawning From the night before at the club I was up I'm tryna live Only twenty two my nig 'bout to be twenty three ya dig? Yo I wake up every morning shower gather my belongings Head to works I get some breakfast 'cause still a nigga yawning From the night before at the club I was up I'm tryna live Only twenty two my nig 'bout to be twenty three ya dig? Time don't wait for none of us that's why I gotta chase my dreams Make my momma proud so she can show off all her pearly teeth And be half the man my dad was I thank God he was in my life I realize how many [?] Either I need to make this music work or move from the Earth I'm preachin' fire need a choir 'bout to take you all to church My congregation bombed the nation with this HIP HOP We in the race to fame blowin' pass the PIT STOPS I heard the prize was some chicks and a WRIST WATCH And all you gotta do is go to jail or GET SHOT Yeah Nick cop but he ain't never get popped How we gonna get pop fans? Give 'em a quick shot Now I get ya chick hot with my wrist watch Yeah shorty drip drop when it tick tock It's kinda sick huh? Ay Jay put it in the heart of Pickering And tell them niggas this is NICK'S SPOT They don't keep it fresh enough I got it zip locked Saran wrap anthrax it make ya sick huh I'm hot as fire wanna put me out with piss huh [?] [CHORUS:] It ain't as easy as it looks we go through some shit You cut us a check then we go through some hits Then you show us respect then we'll say you legit And this is the life that I lead from AM to PM I'm tryna get that cash then watch how tall it grows Soon as we get the ass we start callin' 'em hos The concept you don't grasp I'm guessin' you too old And this is the life that I lead from AM to PM [DRAKE:] Ayo I stay up every evening write that shit that they believe in DJs run it they approach me and it's praise I be receiving From the night befo' at the club fake I.D. my record spins Got me dancin' right outside since these niggas won't let me in Well guess again slip around the back and get it crackin' And all the bottles wrapped in cellophane [?] Hundred grand Nickle F that nigga's the next to win Virgina go rep for him and Memphis represent for me To the tenth 10 degree Tennekey T Dot to the country ya'll Orangemen and White Haven an back up north to Montreal I ain't ashamed my city ain't on the map [?] Light that fire realize they ain't born to rap [?] Pass the torch and sell they soul [?] Maybe they can bring they career back But these niggas right here ain't tryna hear that Cause I'm on set make it work break even on 9 to 5's Cigarettes and lotto tickets tryna keep that grind alive All my uncles they hit the casino when they get they check My cousins they paint they [?] to get respect This can't be life dominoes and [?] dro and twenty stacks [?] [?] Rest In Peace to SKUMMY this reality not funny rap! You think it's funny till these youngings suck a bunny Pull the jack rabbit out and get to screamin' where the money at?! [CHORUS:] It ain't as easy as it looks we go through some shit You cut us a check then we go through some hits Then you show us respect then we'll say you legit And this is the life that I lead from AM to PM I'm tryna get that cash then watch how tall it grows Soon as we get the ass we start callin' 'em hos The concept you don't grasp I'm guessin' you too old And this is the life that I lead from AM to PM
,7,drake-azlyrics,drake-azlyrics,7,http://www.azlyrics.com/lyrics/drake/whatyouneed.html,"What You Need",[Intro] Do you hold me close. Do you hold me close by. Do you hold me close. Do you hold me close by. [Verse 1] I just wanna take you there. He don't got to go no where. Does he touch you here like this. Let me take this wishing from your lips. And I will love you girl. The way you need. Ain't no one gone stop us. Ain't no one gone stop us. And I will give you girl. What you fein. I'm the drug in your vein. Just fight throught the pain. [Chorus] Hes what you want. [x4] I'm what you need. What you need. [x3] I'm what you need. What you need. [x3] [Chorus] [Verse 2] I got everything you want with me. I do everything he does times three. And he ain't don't got to go. I got you on the floor. Doing things you'll never thought you'll do. Baby leave those high heel shoes. Cuz I love it when your looking down at me. And when I'm looking up at you. And I don't give damn. Shawty watch me knock your boots off. And I will love you girl. The way you need. Ain't no one gone stop us. Ain't no one gone stop us. And I will give you girl. What you fein. I'm the drug in your vein. Just fight throught the pain. [Chorus] [Chorus]
,8,drake-azlyrics,drake-azlyrics,8,http://www.azlyrics.com/lyrics/drake/themotion.html,"The Motion",It's not me and you It's not me. It's you You're reckless and you know it They don't love you like I do Say you're moving on well I guess that's just the motion I guess that's just the motion (oooh) [x4] I don't have a fuck to give I been moving state to state In my leather and my Tims Like it's 1998 And my dog Chubby Chubb That's my nigga from the way On the East side of the city That's where everybody stay Seem like everybody calling 'Cause they want me on their song It's like every time I touch it I can never do no wrong When they need a favor from ya man they don't leave you alone But I guess that's just the motion And their phone doesn't ring when they got everything That's the motion (ooh) I guess that's just the motion (oooh) [x2] Yeah Looking back on it at least my pride is in tact 'Cause we said no strings attached And I still got tied up in that Every thing that I write is either for her or about her So I'm with her even when I'm here without her And she know it The girl that I want to save is like a danger to my health Try being with somebody that want to be somebody else I always thought she was perfect when she was being herself Don't even know how to help But I guess that's just the motion Yeah she'll probably come around soon as I settle down That's the motion (ooh) I guess that's just the motion (ooh) [x3] [Sampha] Nothing less and nothing more I hear your heart hit the floor (I guess that's just the motion) Talking to you's not enough (no ohh) I guess that's just the motion (ohh) I guess that's just the motion [x5]
,9,drake-azlyrics,drake-azlyrics,9,http://www.azlyrics.com/lyrics/drake/unforgettable.html,"Unforgettable",Let me know let me know ohhh ohhh Let me know let me know [Drake:] Yo this is really one of my dumbest flows ever I haven’t slept in days and me and my latest girl agreed to go our separate ways so I’m single Thinking about what we had and missing you But I ain’t Santa I got something for these bad bitches too I mean paparazzi on me trying not to get caught out They always seem to catch me with the women that I brought out Baby don’t hold on too long ’cause thats how them stories start out And all those girls that played me eat your muthafuckin heart out it’s Drizzy Always gone but never hard to find And since you can’t escape me do I ever cross your mind? Because all this shit is new to me I’m learning to behave And still spending every dollar they encourage me to save but I’m good I know that niggas would kill for this lifestyle I’m looking forward to the memories of right now Never forgettin’ from where I came And no matter where I’m headed I promise to stay the same [Chorus - Jeezy & Drake:] I’m just riding round the city with my hood on and my windows down Ask your girl I’m the realest nigga she been around When I pull up in something new and park it by the haters And when you get to talkin’ bout the greatest I just really hope that (you’d think of me) [3x] I'm doin my thing [3x] (‘Cause I’m trynna be unforgettable) [Young Jeezy:] This just might be my realest flow ever When I say for life y’all say forever It’s hard but its fair I told that girl "Life hurts" The closest you gonna get to this is a Pac t-shirt The name’s Young baby you know I live that thug life The good die young so I’mma need a thug wife Yeah I’m talking his and her firearms Know our jewelry prolly louder than a car alarm Yeah I’m in my "used to have to sneak the car" Now my insides are lookin like a snickers bar Yeah I’m talking caramel leathers Damn right so fly I need feathers She saying shit in them streets so whats the deal? And I’ve done everything in the A but fuck Chilli So welcome to my life no two days the same Like for y’all to meet the love of my life her name’s the Game [Chorus - Jeezy & Drake] [Jeezy talking:] Got this top dropped on this beautiful night This beautiful night to live my beautiful life Pain hurts like a cut from a beautiful knife Just know she right here on my hip my beautiful wife Yeah Drizzy we got em lil brah Unforgettable you’ll never forget this ya understand me? Timeless homie unforgettable Let me know let me know
,10,drake-azlyrics,drake-azlyrics,10,http://www.azlyrics.com/lyrics/drake/connect.html,"Connect",[Verse 1:] Isn't it amazing how you talk all this shit and we still lack communication How beautiful our kids will be girl I don't need convincing How every conversation starts with this time will be different Oh the idea is fun oh the idea is fun Oh the idea is so fun every time At least we try for homerun every time [Hook:] Swanging eyes closed just swanging Same city same friends if you're looking for me Same city same friends if you're looking I'll be here just swanging Don't talk to me like I'm famous And don't assume cause I don't respect assumptions babe I'm just tryna connect with somethin' babe Swangin' [Verse 2:] She just wanna run around the city and make memories That she can barely remember And I'd allow her talk about pussy power She just wanna run over my feelin's Like she drinkin' and drivin' in an 18 wheeler And I'd allow her talk about pussy power She used to say "You can be whoever you want even yourself" Yeah I show up knowin' exactly who I was and never leave as myself But when it falls apart I'm always still down To pick a million tiny little pieces off the ground Cause you would learn to love people and use things And not the other way around [Hook] [Verse 3:] I remember when my schedule was as flexible as she is She call and tell me be here before the sun up I be dressed before we hung up I take Eglinton to 401 east And exit at Markham road and the East end Where all the pretty girls are sleeping My license been expired I renew it after the weekend Fuck I know I said that shit the last 7 weekends Girl I guess procrastination is my weakness I hate stoppin' for gas this late Cause this nigga's creepin and I like how we're creepin' Summer is comin' know you could feel it 20 on pump whatever I ain't got enough to fill it Won't knock on your door My uncle say "You drive my whip like it's yours" I got the pedal to the floor I'm on my motherfuckin' way swangin' [Outro:] Don't fall asleep on me hang in there I'll be there just swangin' I'll be there just swangin' I treat you good girl like you're famous I know I'm late it's always the same shit But don't fall asleep on me hang in there I'm on the road right now swangin girl
